BPM,RMS Energy,Zero-Crossing Rate,Жанр
93,0.18220740266364627,0.07608936233417139,хип-хоп
83,0.27755401975219196,0.07382361524039795,хип-хоп
108,0.43013850240245133,0.19633339759282306,рок
121,0.33154223690542606,0.16363100670365777,поп
131,0.2415059277253404,0.1523338258427958,поп
108,0.18076723421160817,0.06753302698893385,хип-хоп
113,0.2934239928173883,0.17084974424509472,поп
112,0.2750754081547592,0.09281072791230613,поп
139,0.789465534702127,0.29170829937663967,рок
143,0.6684574067296203,0.2645580703753386,рок
84,0.28712699884418946,0.10343274735305634,хип-хоп
97,0.14181432414754275,0.08483366044531973,хип-хоп
111,0.2583140101984619,0.08387791413315805,поп
85,0.1301435087930859,0.1320426843771268,хип-хоп
78,0.20355027010549603,0.084062456946424,хип-хоп
157,0.5323001218682055,0.28153874126970924,рок
134,0.2909796544019668,0.10036158846746787,поп
104,0.36112472815899666,0.15762180340024687,поп
94,0.17976488848891062,0.13112041767360028,хип-хоп
81,0.19406012688920768,0.10733670416719332,хип-хоп
92,0.2548597991321922,0.1271587338774631,поп
128,0.4016078405885598,0.1261042197655064,поп
159,0.697668209222625,0.1425455790048458,рок
83,0.17951440421750448,0.11816136689727898,хип-хоп
95,0.4908610601342477,0.09598221502684996,поп
104,0.14571000435945994,0.09179460317155788,хип-хоп
143,0.658041344812226,0.26739277484747476,рок
128,0.21165042032882697,0.12027920777563558,поп
89,0.24704322384815441,0.11928903586919394,хип-хоп
128,0.3883683244845908,0.19029388583343915,поп
77,0.14937521256772024,0.13069129770507792,хип-хоп
104,0.7533976089065036,0.27262770439780076,рок
71,0.2930838702577587,0.12316477552996402,хип-хоп
92,0.32593425693388295,0.1973480802505125,поп
90,0.47456411828794415,0.13764440982396256,поп
128,0.4065499702296099,0.12935061399024428,поп
128,0.48038419920191294,0.17949970648478175,поп
86,0.2964336686658871,0.10479718832480872,хип-хоп
159,0.546587513833144,0.21074061046916015,рок
78,0.24222990648760356,0.05389631323102337,хип-хоп
92,0.29954809700978835,0.05480589241970338,хип-хоп
127,0.6289169876683354,0.17004364934006272,рок
108,0.7624395150874217,0.2411662967757389,рок
144,0.5232243167409557,0.25625921009424046,рок
117,0.2242618899851593,0.14619054470528842,поп
116,0.33270566891933134,0.19823432607986052,поп
124,0.7915571433100037,0.24740711135820176,рок
80,0.153356202855057,0.14491457315913858,хип-хоп
93,0.22687026894027276,0.10010398839152593,хип-хоп
103,0.26933222844766114,0.07385968597903401,хип-хоп
133,0.31964627043343835,0.12999668692861752,поп
146,0.6211279907631632,0.18726716632131118,рок
93,0.21057861781426557,0.1443891604560757,хип-хоп
115,0.5221455441377574,0.1709810380925441,рок
100,0.255300102299411,0.18519937831109512,поп
90,0.27686208307833743,0.14672060463711015,поп
134,0.23982362667289095,0.11251491710181559,поп
130,0.22816198702438753,0.16994939599712866,поп
100,0.27018568975350254,0.08777288861762948,хип-хоп
75,0.21165869072141952,0.06276897294224656,хип-хоп
138,0.7812287388095813,0.14733703873641574,рок
105,0.20332717825420285,0.09234709423081186,хип-хоп
121,0.2275397197440326,0.15021794387905663,поп
95,0.24007156599455426,0.10618666921437736,хип-хоп
83,0.13499098541918725,0.14675805515202472,хип-хоп
100,0.6359483390242175,0.11117423093547002,рок
90,0.14843198765548518,0.13009492946823997,хип-хоп
87,0.15577427051843637,0.13671166072097218,хип-хоп
102,0.48957554911723095,0.12324141142463219,поп
131,0.36981116314822293,0.16300572766026944,поп
134,0.45464853257681154,0.11657826433867086,рок
73,0.11923531021828415,0.11557226353807422,хип-хоп
132,0.29799537253881225,0.12659220607878466,поп
133,0.24759393429274731,0.14412155300353557,поп
98,0.11297844942179631,0.051716110183175026,хип-хоп
73,0.29925073995158485,0.10759245752580845,хип-хоп
121,0.24651248501832326,0.18983052100029277,поп
136,0.6835643987640474,0.2056740242594418,рок
119,0.451680050620809,0.08694366773092489,поп
132,0.5879778055963772,0.14664561448490557,рок
116,0.6288016796836733,0.17933032039085037,рок
132,0.5941119497105263,0.1660505058038197,рок
144,0.5001847274422337,0.2991862484060658,рок
117,0.579369657194499,0.23535398088486065,рок
136,0.4281664523398176,0.24819477218213365,рок
130,0.49385315858645257,0.12534206591309438,поп
71,0.1739308912122809,0.11364035974460113,хип-хоп
116,0.39713339855005003,0.08441862411631897,поп
120,0.5135683898949863,0.26942862881911794,рок
141,0.6990875095589656,0.2760719937276833,рок
72,0.23614109031095334,0.10393774484000626,хип-хоп
123,0.5737577462041715,0.29373038879482694,рок
122,0.21745807865253308,0.17331227404822708,поп
134,0.7978202043189364,0.20266523373847856,рок
